Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
102,711.996643,975.323120,184.380615,658.202148,889.301941,123.796959,,,,856.719543,1207.695923,436.056488,688.686401,891.960632,127.907135,812.104736,1208.248413,279.750946,,,
103,711.917480,975.962585,183.610565,658.236023,889.983948,122.572586,,,,856.947693,1208.055908,435.953369,688.912354,892.647522,127.106232,812.146362,1208.507568,279.710175,,,
104,711.669983,976.558289,183.059525,658.329956,890.754456,121.298882,,,,857.099792,1208.389038,435.851654,689.045105,894.185791,126.017639,812.670410,1208.868896,279.121368,,,
105,711.578491,977.183960,182.461792,658.589111,891.271118,120.342628,,,,857.310608,1208.728271,435.826111,689.052063,894.320923,125.114372,812.811951,1209.154053,278.960999,,,
106,711.173889,977.390259,181.865540,658.740417,891.815430,119.570389,,,,857.479126,1208.963623,435.790161,689.109558,894.339905,124.573006,812.787720,1209.321167,279.048492,,,
107,710.899658,977.646484,181.329926,658.858032,892.184753,118.886925,,,,857.835632,1209.216431,435.591766,689.097961,894.849670,123.906837,812.689087,1209.522705,279.273438,,,
108,710.887390,978.022095,180.802338,658.971863,892.476074,118.327538,,,,858.062805,1209.416992,435.582458,689.438599,895.383972,122.670525,812.753357,1209.557861,279.331207,,,
109,710.933960,978.358948,180.116241,659.112671,892.787109,117.993385,,,,858.224915,1209.639404,435.585327,689.769226,895.885742,121.741478,812.867004,1209.698242,279.326202,,,
110,710.945679,978.602966,179.741806,659.498230,893.120544,117.198830,,,,858.425415,1209.915771,435.581696,690.107178,896.159119,120.820168,813.088440,1209.828003,279.355408,,,
111,710.752808,978.902039,179.345474,659.744629,893.564209,116.010040,,,,858.546082,1210.061646,435.504211,690.236877,896.502686,120.218201,813.313171,1209.871460,279.329285,,,
112,710.645508,979.087646,178.955139,660.002380,894.079285,114.969063,,,,858.763123,1210.265869,435.535370,690.224731,897.087952,119.678589,813.446045,1209.969971,279.419312,,,
