Präzision01160
Date:,2025/04/24
Time:,16:13:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
120,701.143921,984.012085,209.471130,656.210510,879.840820,178.952179,682.438416,886.925232,178.341232,,,,824.777100,1199.372437,422.637390,,,,,,,779.174438,1217.638794,282.675415,,,,,,
121,701.364502,985.100159,209.048508,656.183594,881.251770,178.274658,682.192993,888.421082,177.677307,,,,824.918579,1199.959717,422.668396,,,,,,,779.278687,1218.238770,282.563019,,,,,,
122,700.994690,986.020569,208.883148,657.005920,882.532898,176.732849,681.805908,890.033997,177.008942,,,,824.906189,1200.620361,422.902008,,,,,,,779.273193,1218.884277,282.625702,,,,,,
123,700.909058,987.392639,208.532837,656.363098,883.453552,176.557327,681.596497,890.814636,176.473648,,,,825.360840,1201.328613,422.895050,,,,,,,779.260986,1219.783569,283.145599,,,,,,
124,700.927246,988.646912,207.872589,656.408142,884.549438,176.062653,681.523071,891.809265,176.242538,,,,825.448792,1201.945557,422.809662,,,,,,,779.511047,1220.710571,283.526581,,,,,,
125,700.894836,989.547302,207.194412,656.177185,885.668396,175.852142,681.452881,892.922241,175.925583,,,,825.648376,1202.562744,422.818176,,,,,,,780.193970,1221.373169,283.232544,,,,,,
126,700.908081,990.271057,206.926895,656.128296,886.672363,175.538589,681.393677,893.812866,175.397522,,,,826.100830,1203.190796,422.779449,,,,,,,781.192566,1221.851929,282.567780,,,,,,
127,701.146362,991.187073,206.757187,656.380371,887.631592,174.825516,681.408752,894.946472,174.968475,,,,826.475891,1203.702637,422.718048,,,,,,,782.097778,1222.617065,282.147705,,,,,,
128,701.257019,992.212158,206.548920,656.306885,888.728821,174.562607,681.690308,895.939636,174.459488,,,,826.759705,1204.157349,422.662872,,,,,,,782.256104,1223.261597,282.115204,,,,,,
129,701.307434,993.012085,206.351501,655.828674,889.645935,174.724823,681.616638,897.159485,173.666489,,,,826.947327,1204.689819,422.602600,,,,,,,782.234070,1223.999756,282.246613,,,,,,
130,701.395142,993.764771,205.920319,655.882813,890.284851,174.376022,681.807312,897.434265,173.758957,,,,827.317932,1205.160767,422.429688,,,,,,,782.382141,1224.696289,282.317505,,,,,,
131,701.562439,994.421814,205.503723,655.709412,890.948059,174.253708,682.124084,897.685669,173.690277,,,,827.615112,1205.639771,422.322693,,,,,,,782.912109,1225.223267,282.227814,,,,,,
