Präzision22
Date:,2025/04/16
Time:,11:11:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
80,697.680115,863.480286,200.098831,742.661072,966.683838,213.507751,725.246033,864.995483,199.704193,788.810120,1272.736572,326.201904,,,,,,,,,,733.451538,1191.180176,170.876358,,,,,,,,,,,,,,,,,,,,,,,,
81,695.183228,865.906982,201.018494,741.882202,968.867493,213.817947,723.887024,866.938843,200.027191,789.451233,1274.220337,326.867157,,,,,,,,,,733.167603,1193.674438,171.600037,,,,,,,,,,,,,,,,,,,,,,,,
82,694.437866,868.455811,200.337189,740.729919,971.497498,213.979935,721.462524,869.777649,200.362183,790.390503,1275.577148,327.710449,,,,,,,,,,733.111816,1196.200562,171.909988,,,,,,,,,,,,,,,,,,,,,,,,
83,692.744995,871.306274,200.452820,739.217407,973.536560,214.446655,720.232178,872.079590,200.213654,791.333374,1276.869019,328.399933,,,,,,,,,,733.692627,1198.496460,172.549164,,,,,,,,,,,,,,,,,,,,,,,,
84,691.470886,873.763062,200.087173,738.105347,976.000793,214.583786,718.744812,874.550659,199.659866,792.407959,1277.981201,329.043427,,,,,,,,,,733.726257,1200.828735,173.167755,,,,,,,,,,,,,,,,,,,,,,,,
85,689.095398,876.251831,200.948364,737.245667,977.936829,214.809601,716.961670,876.702209,200.023148,792.883423,1279.452026,329.648560,,,,,,,,,,733.446899,1203.099121,173.923065,,,,,,,,,,,,,,,,,,,,,,,,
86,688.143372,878.552551,200.383194,736.595520,980.062500,214.888641,715.526733,878.937500,200.376862,793.005432,1281.144897,330.583008,,,,,,,,,,733.093262,1205.135986,175.051605,,,,,,,,,,,,,,,,,,,,,,,,
87,686.493225,880.831299,200.297256,735.304382,982.060242,214.440582,713.855347,881.013550,199.932678,793.341858,1282.401855,331.258270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,685.550720,883.161743,199.650146,734.054626,984.322571,214.808411,712.653687,883.628174,199.906158,794.215698,1283.598877,332.056000,,,,,,,,,,,,,733.649475,1209.428223,176.171097,,,,,,,,,,,,,,,,,,,,,
89,684.178406,885.547363,199.465591,733.055420,986.125488,215.202927,711.036072,885.387695,199.659668,794.941895,1284.971436,332.523438,,,,,,,,,,,,,733.873474,1211.328125,176.313202,,,,,,,,,,,,,,,,,,,,,
90,682.530396,887.461670,199.693207,732.587219,987.974121,215.345306,709.215637,887.345703,199.641479,795.375916,1286.321533,332.810638,,,,,,,,,,,,,734.335571,1213.340942,176.824768,,,,,,,,,,,,,,,,,,,,,
91,680.301514,889.567078,200.513260,731.473083,989.927307,214.717880,708.101746,889.007324,199.651169,795.781860,1287.298828,333.307098,,,,,,,,,,,,,734.420715,1215.171143,177.523926,,,,,,,,,,,,,,,,,,,,,
92,679.676453,891.264343,199.754913,730.617493,991.572449,214.368851,706.672424,891.422607,198.948013,796.707520,1288.268433,333.836853,,,,,,,,,,,,,734.323303,1217.187744,178.049042,,,,,,,,,,,,,,,,,,,,,
93,678.650024,893.281128,198.921539,729.814697,993.482727,214.452103,706.063049,892.986328,198.507050,797.559204,1289.479126,334.454010,,,,,,,,,,,,,734.357788,1218.894043,178.217270,,,,,,,,,,,,,,,,,,,,,
94,677.460693,895.043640,198.926086,729.338440,994.503845,214.381790,704.868286,895.014099,197.920242,798.134399,1290.429932,334.752991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,676.469971,896.757141,198.259003,728.218506,996.687439,213.690842,703.691589,896.550354,197.534927,798.493408,1291.327026,335.134003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,675.330078,898.328125,197.360260,726.873901,998.300720,213.479736,702.871887,897.903381,197.141632,799.022339,1292.210571,335.714142,,,,,,,,,,,,,,,,734.335449,1223.675415,179.770554,,,,,,,,,,,,,,,,,,
97,674.378418,900.015869,197.289185,726.352722,999.073853,213.521225,701.316284,900.020142,196.877914,799.636902,1293.201782,336.052795,,,,,,,,,,,,,,,,734.749695,1225.236816,180.127060,,,,,,,,,,,,,,,,,,
98,672.961731,901.497131,197.220413,725.748962,1000.735046,213.244003,700.168152,901.295105,196.583420,800.387390,1294.105591,336.620911,,,,,,,,,,,,,,,,734.892639,1226.467285,180.128601,,,,,,,,,,,,,,,,,,
99,671.293762,903.007324,196.989182,724.916565,1002.303711,212.407013,699.722595,902.231262,195.834869,801.064941,1294.819336,336.927368,,,,,,,,,,,,,,,,735.012573,1227.999023,180.269333,,,,,,,,,,,,,,,,,,
100,671.284180,904.355347,195.709335,724.086731,1003.321594,211.896469,698.454529,903.962952,195.344772,801.343262,1295.648438,337.230316,,,,,,,,,,,,,,,,735.125000,1229.299194,180.282288,,,,,,,,,,,,,,,,,,
101,670.292480,905.750488,194.723724,723.309448,1004.470764,211.661514,697.073303,905.777771,194.390335,801.471008,1296.486938,337.677094,,,,,,,,,,,,,,,,735.079834,1230.401489,180.188644,,,,,,,,,,,,,,,,,,
