Präzision01162
Date:,2025/04/24
Time:,13:16:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
74,700.041504,891.957581,158.917099,722.885315,994.710327,163.548248,,,,671.013733,885.849854,154.914886,,,,,,,,,,,,,,,,,,,782.093018,1240.066284,189.939896,,,,,,,810.109558,1227.969238,400.900482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,699.754517,892.493958,158.027771,722.911316,995.469971,163.185242,,,,670.237244,886.664124,154.749100,,,,,,,,,,,,,,,,,,,782.229675,1240.820190,189.955276,,,,,,,810.334290,1228.469971,400.697845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,699.700195,893.175049,156.792206,722.590027,996.233948,162.426376,,,,670.042297,887.401123,153.718491,,,,,,,,,,,,,,,,,,,782.399902,1241.375977,190.094986,,,,,,,810.552124,1228.976929,400.555725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,699.256287,893.989563,155.597778,722.025574,997.050598,161.545395,,,,669.625977,888.386780,152.655167,,,,,,,,,,,,,,,,,,,782.516785,1241.854614,190.124313,,,,,,,810.570984,1229.411743,400.488220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,698.909424,894.797607,154.713776,721.514587,997.715149,160.919403,,,,669.063171,889.084961,152.054260,,,,,,,,,,,,,,,,,,,782.696167,1242.488281,189.910019,,,,,,,810.688660,1229.813599,400.644531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,698.657471,895.525757,154.183640,721.251099,998.290710,160.649902,,,,668.690674,889.592407,151.553894,,,,,,,,,,,,,,,,,,,782.977234,1242.924561,189.685715,,,,,,,810.963501,1230.192627,400.594666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,698.323303,896.065796,153.901047,721.480835,998.775940,160.449722,,,,668.521973,890.158386,151.109055,,,,,,,,,,,,,,,,,,,783.109619,1243.191772,189.588287,,,,,,,811.297363,1230.564941,400.520905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,697.857727,896.693359,153.001175,721.389832,999.338989,160.143875,,,,668.817200,890.713562,149.850281,,,,,,,,,,,,,,,,,,,783.259277,1243.484497,189.474243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,697.660461,897.124634,152.298523,721.106140,999.820007,159.288101,,,,668.775452,891.561951,148.377136,,,,,,,,,,,,,,,,,,,783.347534,1243.764648,189.349380,,,,,,,,,,812.112122,1231.168091,400.262878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,697.396973,897.345825,152.056396,720.894592,1000.112488,158.260788,,,,668.236511,891.868347,148.181396,,,,,,,,,,,,,,,,,,,783.530029,1244.145630,189.303757,,,,,,,,,,812.397095,1231.492798,399.984955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
