Weight63
Date:,2025/04/28
Time:,14:04:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
122,638.222900,690.725769,202.429520,984.694458,765.930969,421.853455,856.580383,828.887634,278.503021,,,,,,,510.393250,665.713745,190.032272,561.485962,637.805359,154.133636
123,632.590332,690.909363,202.106873,982.073425,765.349915,421.330750,852.140320,827.207581,279.100220,,,,,,,504.888062,666.369751,188.962509,555.953674,638.666626,152.858490
124,627.163086,691.275513,200.888260,979.683655,764.574341,421.118988,847.949097,825.459229,279.988159,,,,,,,499.578064,666.877563,187.561447,550.701172,638.986633,151.487198
125,622.449768,691.504639,199.872223,976.842285,764.050720,420.874786,843.055359,824.057983,280.486084,,,,,,,494.792450,667.493958,185.347900,545.450684,638.994690,150.368866
126,617.559326,691.736084,198.510117,974.350220,763.315063,420.982849,838.482117,822.359741,281.203339,,,,,,,489.484955,668.049561,184.167435,540.695313,639.487549,148.509888
127,612.733521,691.746277,197.320938,971.550293,762.798950,420.816833,834.310181,820.741699,282.311829,,,,,,,484.764709,668.634094,182.358582,535.667969,639.298767,147.204681
128,607.852234,691.873535,195.788391,969.106018,762.270569,420.677246,829.948364,819.005737,282.628845,,,,,,,480.191040,669.334839,180.445801,530.759460,640.062805,145.717712
129,603.160461,691.846558,194.804718,966.517578,761.495056,420.349457,825.608704,817.654602,283.349884,,,,,,,475.506775,669.786133,178.960251,526.315857,640.568054,144.411957
130,598.686890,691.884094,193.528397,963.910095,760.877258,420.325378,822.239502,815.755798,284.337524,,,,,,,470.628174,669.951782,177.959702,521.627686,641.315369,142.784332
131,594.552979,691.811951,192.698746,961.461304,760.133423,420.254089,818.251526,814.527893,284.630341,,,,,,,466.057037,670.554871,176.505707,517.612976,641.948669,140.633423
132,590.267151,691.714050,191.821869,959.464600,759.403259,420.126678,814.608765,812.829285,285.350464,,,,,,,462.379395,671.179321,173.766907,513.570984,642.409546,138.903381
133,586.266724,691.752930,190.224380,956.841370,758.866455,419.889740,811.168335,811.456848,286.375305,,,,,,,458.224579,671.817383,171.827698,509.420929,642.744568,137.668961
134,582.652466,691.741821,188.596924,954.947571,757.956726,419.796173,807.460938,809.622314,286.423279,,,,,,,453.766785,672.326721,170.613144,505.623810,643.017517,136.009583
135,578.678833,692.062866,187.229324,952.648743,757.311768,419.287964,804.197998,808.178101,286.987366,,,,,,,450.265961,672.674561,169.173431,501.990082,643.539551,134.286850
136,575.083008,691.781250,186.601044,949.988098,756.911804,419.540100,800.259644,806.660461,287.483276,,,,,,,446.768280,672.822388,167.146408,499.036835,643.810913,132.057297
137,572.037231,691.908142,185.028214,948.527344,755.949524,419.340820,797.682739,805.054016,288.083282,,,,,,,443.742310,672.861023,165.703354,495.668732,643.951477,130.145233
138,568.738647,692.036926,183.473099,946.241394,755.318970,419.132294,794.398682,803.746643,288.396881,,,,,,,440.878143,673.238342,163.281204,492.625519,644.472595,128.510040
139,565.870178,691.850220,182.287949,943.816650,754.647400,419.446533,791.754028,802.036865,288.765930,,,,,,,438.217865,673.440796,160.631882,489.212860,644.685730,127.254105
140,562.966187,691.945740,180.635284,942.112610,753.947876,419.078674,788.494568,800.902954,288.981445,,,,,,,435.335907,673.603394,158.713028,486.949707,644.755676,125.159660
141,560.341797,691.894287,179.477081,939.995178,753.287109,418.732941,786.008484,799.407043,289.340851,,,,,,,432.509064,673.795166,157.187271,484.672760,644.781067,122.924744
142,557.997131,691.944946,177.944077,937.948364,752.633179,418.948547,783.750854,798.114868,289.633392,,,,,,,430.274750,673.888306,155.439667,482.162720,644.923706,121.586182
143,555.533020,691.768677,176.835373,935.799744,751.815430,418.423676,781.186035,797.002380,289.560242,,,,,,,428.067078,674.020874,153.556519,480.545319,644.636841,120.004829
144,553.439880,691.810913,174.721695,934.635803,751.097534,418.247314,779.171204,795.544495,290.041351,,,,,,,425.843231,674.302856,151.501907,478.396088,644.713013,117.940758
145,551.195557,691.890808,173.415421,932.527283,750.709290,418.359741,777.073792,794.467590,290.031799,,,,,,,423.437195,674.563049,150.126053,476.289703,644.947815,116.179306
146,549.457642,691.624084,173.003021,930.427795,750.322571,418.019196,775.170898,793.674988,289.755188,,,,,,,421.656647,674.884705,148.259140,474.465546,645.305969,114.381332
147,547.497375,691.801514,171.421463,929.261780,749.738708,417.636566,773.036560,792.398621,290.076416,,,,,,,420.179474,675.320984,146.397842,472.896027,645.810425,112.986374
148,545.634766,691.705444,170.219711,928.290100,749.086121,417.114655,771.540833,791.419434,289.907288,,,,,,,418.371246,675.647644,145.071365,471.212799,645.948547,111.265625
149,544.195801,691.422058,169.200943,927.050659,748.597412,416.411896,770.185974,790.673523,289.921417,,,,,,,416.259216,675.739929,144.274109,469.735199,646.021545,109.675797
150,542.715515,691.423096,167.819199,925.672302,748.360291,416.238312,768.931396,789.875793,289.666809,,,,,,,414.837677,676.416199,142.426315,468.301666,646.184448,108.406090
