PTP210
Date:,2025/04/08
Time:,13:36:24
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
216,78.547768,335.048920,119.648933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,78.552422,335.032227,119.652664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,78.544243,335.031281,119.654839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,78.551140,335.022949,119.652275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,78.561928,335.026947,119.669289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,78.577515,335.015869,119.605835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,78.535645,334.919189,119.637070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,78.533989,334.911713,119.649422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,78.528931,334.926422,119.648285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,78.502373,334.930267,119.543991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,78.428978,334.973785,119.536919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,78.396217,334.869019,119.409409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,78.362312,334.837189,119.406075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,78.343216,334.886780,119.503143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,78.276535,334.870605,119.414597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,78.088730,334.967072,119.558853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,78.053406,334.914368,119.618599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,78.047752,334.889832,119.625298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,78.049927,334.890320,119.620346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,77.939178,334.951874,119.792618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,77.936150,334.959991,119.798630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,77.948158,334.954376,119.770241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,77.861046,334.960724,119.771011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,77.817719,334.915436,119.624123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,77.825790,334.897095,119.552933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,77.789391,334.930634,119.541687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,77.874397,334.912140,119.443436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,77.856575,334.953552,119.258919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,77.760201,334.974609,119.398659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,77.646843,334.998230,119.436600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,77.639374,335.001099,119.431885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,77.656059,335.065735,119.405312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,77.573463,335.130371,119.358368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,77.554810,335.101074,119.329826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,77.565819,335.127350,119.352768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,77.629761,335.203949,119.555588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,77.656265,335.142303,119.419884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,77.662674,335.203491,119.533371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,77.750710,335.148773,119.431519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,77.802635,335.122406,119.346176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,77.883919,335.144775,119.418503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,77.859909,335.184113,119.413177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,77.947830,335.199005,119.421288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,77.979568,335.192535,119.434998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,77.977768,335.190552,119.437645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,77.997734,335.210907,119.521317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,77.975365,335.192535,119.453575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,77.984894,335.256348,119.412186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,77.827972,335.277771,119.665123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,77.989006,335.298767,119.565712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,77.918304,335.289368,119.393463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,77.790161,335.372650,119.609276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,77.926697,335.394501,119.491096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
