Weight61
Date:,2025/04/23
Time:,14:07:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,728.281738,726.604187,192.198273,613.693420,687.811279,210.455521,679.388794,633.920898,201.605301,1033.706177,856.097290,382.452820,,,,953.209595,881.624023,254.000916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,724.244873,726.627808,193.404861,609.553162,688.292358,211.182098,675.345093,634.355774,202.345184,1031.740479,856.001892,382.412170,,,,950.239258,881.072205,254.562729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,720.545288,726.893799,193.806793,605.797485,688.836304,211.754318,671.444519,634.714172,202.579086,1029.111328,855.789185,382.831757,,,,946.656128,880.607056,255.881454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,716.675903,727.313538,194.464096,601.809814,689.547424,212.462280,667.393921,635.021240,202.656464,1027.651489,855.618164,383.031708,,,,943.378235,880.318665,257.017059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,713.213684,727.386475,194.946213,597.859680,690.055359,212.572784,663.300537,635.325806,202.884979,1025.080322,855.208618,383.673615,,,,940.350464,880.355530,257.695831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,709.585754,727.760803,195.204697,593.932007,690.579041,213.066422,659.408508,635.758667,203.173431,1023.266602,854.898560,383.573639,,,,937.340332,879.633850,258.521484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,705.709656,728.041016,195.585754,590.089661,691.209656,213.661194,655.311768,636.303650,203.973160,1020.794434,854.704163,384.272003,,,,934.503906,878.955750,258.519379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,702.198303,728.124084,196.014114,586.058899,691.992065,213.981628,650.867676,636.716980,204.504288,1018.948669,854.418945,384.426056,,,,930.900024,878.596313,260.479828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,698.325500,728.369934,196.228928,581.980225,692.755371,213.994080,646.958557,637.275513,204.697006,1016.565613,854.262085,384.863739,,,,927.842285,877.921936,261.379517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,694.549133,728.604126,196.698288,578.391785,693.571472,213.868790,642.957214,637.769287,204.873932,1014.550171,853.988953,385.029968,,,,924.561707,877.563477,261.932556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
