Grasp125
Date:,2025/04/23
Time:,16:09:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
94,884.596436,612.487732,103.335915,971.184814,667.618469,123.428612,,,,1198.663086,738.369080,393.946350,,,,,,,1229.344238,753.612427,242.681290,,,,853.791138,716.176086,126.645462,,,,,,,,,,,,,,,,,,
95,883.731506,612.269104,104.426590,969.157227,668.631104,123.407722,,,,1198.539551,738.589111,393.333649,,,,,,,1228.553223,753.693176,241.920944,,,,851.357361,717.861023,128.087723,,,,,,,,,,,,,,,,,,
96,882.918823,611.935608,105.259651,967.855347,669.422424,123.609085,,,,1198.467773,738.662354,392.768463,,,,,,,1227.828857,753.856995,240.836441,,,,849.407166,719.292908,128.852631,,,,,,,,,,,,,,,,,,
97,882.055115,611.673828,105.794525,966.285645,670.460388,123.719948,,,,1198.141479,738.851929,392.302704,,,,,,,1226.994995,754.236084,240.374695,,,,846.441772,721.070068,129.599274,,,,,,,,,,,,,,,,,,
98,881.098083,611.152100,106.442223,964.864197,671.270874,123.790550,,,,1197.794800,739.040466,391.827209,,,,,,,1225.693481,754.599609,239.753662,,,,844.435608,721.887573,130.938477,,,,,,,,,,,,,,,,,,
99,880.005859,610.167480,107.192726,962.861938,671.571045,123.802338,,,,1197.331909,739.172791,391.183411,,,,,,,1224.630737,754.865417,239.215164,,,,841.779114,722.967712,131.398941,,,,,,,,,,,,,,,,,,
100,879.060364,608.951599,108.203789,960.663025,671.990112,124.257729,,,,1196.844971,739.277466,390.485291,,,,,,,1223.444336,755.107483,238.633820,,,,839.622742,723.820129,131.892853,,,,,,,,,,,,,,,,,,
101,878.104065,608.253967,108.772987,959.004150,672.078125,123.860306,,,,1196.406250,739.340759,389.914093,,,,,,,1221.805420,755.429626,237.526138,,,,837.282654,724.638184,132.349503,,,,,,,,,,,,,,,,,,
102,876.544983,607.497498,109.206177,956.437744,672.540283,124.085136,,,,1195.923096,739.469238,389.403992,,,,,,,1219.921875,755.766968,236.716690,,,,835.212952,725.168823,132.474915,,,,,,,,,,,,,,,,,,
103,875.500854,606.466919,109.310867,954.502014,672.796143,124.039833,,,,1195.609619,739.457153,388.923248,,,,,,,1218.710693,755.892334,235.851364,,,,833.002625,726.256714,132.585892,,,,,,,,,,,,,,,,,,
104,874.165833,605.685730,108.945724,953.228516,672.305176,123.454987,,,,1194.579102,739.662048,387.909943,,,,,,,1217.172729,756.188171,234.799225,,,,830.486145,726.111511,132.762909,,,,,,,,,,,,,,,,,,
105,872.211609,605.137695,108.803162,950.489197,672.604309,123.771881,,,,1193.251221,739.840454,386.912323,,,,,,,1214.966797,756.414856,233.644226,,,,828.110168,725.739563,132.702652,,,,,,,,,,,,,,,,,,
