Grasp126
Date:,2025/04/23
Time:,16:09:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,879.029480,487.437103,59.333885,943.751160,564.077637,94.877724,831.597839,506.504517,91.436302,1143.404785,729.144714,381.455261,,,,,,,1141.127197,753.918579,229.625259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,881.665649,488.592316,62.568165,947.349365,565.516479,97.052399,836.820923,507.850891,95.988365,1144.331421,729.660461,381.631470,,,,,,,1144.190674,755.057068,230.202347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,884.817505,489.978760,66.392281,951.291504,566.592590,99.710541,841.540833,509.447693,100.829712,1145.242310,730.150818,382.213654,,,,,,,1147.856934,755.803833,230.662186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,886.893311,492.080536,69.547043,954.810364,567.699829,100.826149,845.619080,511.888245,105.638084,1145.993774,730.642090,382.803711,,,,,,,1151.258301,756.664490,231.345993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,888.992493,493.886658,73.269516,958.104858,569.489746,102.865074,849.207092,514.983215,110.838432,1147.092651,731.248047,383.328156,,,,,,,1154.187866,757.509155,232.035706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,890.818787,496.181854,76.401390,961.486267,570.902954,104.119598,851.776733,518.530884,116.006752,1148.397339,731.713318,383.921021,,,,,,,1158.113525,757.955261,232.607529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,892.326233,498.124512,80.133675,963.842346,572.262756,105.887390,854.536804,522.374268,121.680893,1149.876221,732.039429,384.678955,,,,,,,1161.136963,758.780273,233.514648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,893.886780,500.408203,82.930389,,,,856.690308,526.469543,127.316475,1151.145508,732.439392,384.919373,,,,,,,1164.562622,759.253540,233.899063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,894.934082,503.122314,85.615181,,,,858.502991,531.271912,132.490707,1152.558838,732.802124,385.150635,,,,,,,1167.983643,759.570129,234.454437,968.011963,574.912170,109.564705,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,896.179016,505.875183,89.079193,,,,860.330688,536.457275,137.235489,1153.850586,733.184143,385.893341,,,,,,,1171.403687,759.880127,235.205856,970.452759,577.856995,112.907951,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,896.943420,508.484741,92.066193,,,,861.699646,541.354126,142.187958,1154.812134,733.520142,386.491028,,,,,,,1175.489380,759.736938,235.813126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,897.520935,511.711090,95.011276,,,,862.877930,547.225769,147.017654,1156.009766,733.896057,387.180725,,,,,,,1178.619751,759.746033,236.873428,,,,973.800171,582.505310,117.018089,,,,,,,,,,,,,,,,,,,,,,,,
91,898.096985,515.159790,97.432007,,,,863.653809,552.829895,151.660904,1157.397217,734.248535,387.383881,,,,,,,1182.268066,759.637268,237.329636,,,,974.898804,584.085815,118.911087,,,,,,,,,,,,,,,,,,,,,,,,
92,897.924866,518.194580,99.997208,,,,864.433838,558.642090,156.263443,1158.848511,734.489685,387.827209,,,,,,,1185.710205,759.308228,238.201965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,897.722656,521.827393,103.244095,,,,864.819641,564.918945,159.917557,1160.298218,734.849548,387.965851,,,,,,,1188.910034,759.025879,238.894730,,,,,,,976.669739,590.198792,122.123856,,,,,,,,,,,,,,,,,,,,,
94,897.410767,525.506409,105.866730,,,,865.028870,571.052368,163.315079,1161.840454,735.067078,388.699188,,,,,,,1192.154541,758.633972,239.412384,,,,,,,977.125916,592.687378,124.694061,,,,,,,,,,,,,,,,,,,,,
95,896.393921,529.790527,108.483124,,,,865.463684,577.317383,166.970215,1162.933838,735.315674,389.414276,,,,,,,1195.131836,758.296509,240.355286,,,,,,,977.259766,595.438477,126.388588,,,,,,,,,,,,,,,,,,,,,
96,895.578796,533.933594,111.102859,,,,865.268433,584.226440,169.609985,1164.068481,735.488708,389.687073,,,,,,,1198.343994,757.708008,240.609528,,,,,,,976.832520,598.716187,128.113968,,,,,,,,,,,,,,,,,,,,,
97,894.736267,538.028687,113.140244,,,,865.045532,590.636475,172.950821,1165.839966,735.734436,389.746643,,,,,,,1200.740723,757.380005,241.229446,,,,,,,977.084900,601.815735,129.980530,,,,,,,,,,,,,,,,,,,,,
