PTP357
Date:,2025/04/23
Time:,12:53:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
236,520.913818,451.378174,96.720558,,,,,,,,,,,,,,,,,,,,,
237,520.901611,451.461182,96.789352,,,,,,,,,,,,,,,,,,,,,
238,520.895569,451.480347,96.801598,,,,,,,,,,,,,,,,,,,,,
239,520.897278,451.477112,96.796364,,,,,,,,,,,,,,,,,,,,,
240,520.898254,451.462952,96.807930,,,,,,,,,,,,,,,,,,,,,
241,520.897705,451.472260,96.797836,,,,,,,,,,,,,,,,,,,,,
242,520.919067,451.483490,96.804184,,,,,,,,,,,,,,,,,,,,,
243,520.902527,451.477020,96.793724,,,,,,,,,,,,,,,,,,,,,
244,520.935608,451.565247,96.775269,,,,,,,,,,,,,,,,,,,,,
245,520.928772,451.501526,96.792595,,,,,,,,,,,,,,,,,,,,,
246,520.918335,451.555206,96.766571,,,,,,,,,,,,,,,,,,,,,
247,520.932739,451.568176,96.758873,,,,,,,,,,,,,,,,,,,,,
248,520.929749,451.575897,96.803291,,,,,,,,,,,,,,,,,,,,,
249,520.974854,451.581665,96.760948,,,,,,,,,,,,,,,,,,,,,
250,520.952820,451.579041,96.757462,,,,,,,,,,,,,,,,,,,,,
251,520.972168,451.571716,96.740791,,,,,,,,,,,,,,,,,,,,,
252,520.941833,451.564789,96.753716,,,,,,,,,,,,,,,,,,,,,
253,520.991150,451.571442,96.708298,,,,,,,,,,,,,,,,,,,,,
254,520.948853,451.531616,96.703751,,,,,,,,,,,,,,,,,,,,,
255,520.943970,451.504456,96.740051,,,,,,,,,,,,,,,,,,,,,
256,520.956970,451.509583,96.740112,,,,,,,,,,,,,,,,,,,,,
257,520.949951,451.428223,96.694931,,,,,,,,,,,,,,,,,,,,,
258,520.932678,451.411835,96.607254,,,,,,,,,,,,,,,,,,,,,
259,520.942810,451.432159,96.598419,,,,,,,,,,,,,,,,,,,,,
260,520.919617,451.377991,96.624634,,,,,,,,,,,,,,,,,,,,,
261,520.921570,451.395660,96.515121,,,,,,,,,,,,,,,,,,,,,
262,520.972900,451.440186,96.512581,,,,,,,,,,,,,,,,,,,,,
263,520.951050,451.394043,96.557549,,,,,,,,,,,,,,,,,,,,,
264,520.956787,451.331421,96.544006,,,,,,,,,,,,,,,,,,,,,
265,520.868835,451.325439,96.521576,,,,,,,,,,,,,,,,,,,,,
266,520.867554,451.347351,96.470543,,,,,,,,,,,,,,,,,,,,,
267,520.754028,451.300537,96.498589,,,,,,,,,,,,,,,,,,,,,
