Grasp19
Date:,2025/04/15
Time:,13:18:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
70,843.357666,472.349945,32.152618,1083.288574,793.246826,390.149872,929.893188,456.190399,32.328579,956.734436,548.999451,66.464897,,,,,,,,,,1087.622070,799.836853,219.857437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,843.738586,473.004974,32.298367,1084.124756,793.823486,389.751831,930.174133,457.265808,32.289845,957.182495,550.219177,66.891579,,,,,,,,,,1088.887329,800.773438,219.433273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,844.211304,474.252533,32.750122,1084.721313,794.227661,389.687744,930.427368,458.550690,32.319599,957.412659,551.401794,66.763504,,,,,,,,,,1089.913330,801.896851,218.869705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,844.919617,475.884766,32.916042,1085.290527,794.571289,389.375336,930.576050,460.082214,32.196289,958.210999,552.732361,66.868523,,,,,,,,,,1090.987671,802.904846,218.613190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,845.762512,477.075195,32.784233,1085.927246,795.066528,389.369965,930.818176,461.527863,32.091125,959.058105,554.381348,66.661919,,,,,,,,,,1092.386963,803.968079,218.608826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,846.589050,478.556641,32.568089,1086.716309,795.846191,389.363312,931.101379,463.053375,32.397793,959.152039,555.911438,66.571373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,847.317078,479.991089,32.661053,1087.388062,796.823914,389.225525,931.352905,464.790619,32.324654,959.517456,557.390991,66.825111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,847.957825,482.108093,33.144619,1087.941772,797.643066,389.228180,932.286255,466.688477,32.264511,960.526733,559.214722,66.801216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,848.733643,483.827454,33.299427,1088.352661,798.154541,389.188782,932.861877,468.422302,32.225460,961.487366,561.259155,67.379250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,849.764648,485.915497,33.006531,1088.918335,798.929993,389.141083,933.652527,470.614136,32.915516,962.060913,563.251953,67.728081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,851.051819,488.007965,32.838108,1089.879517,799.954224,388.901978,934.220947,472.571747,33.125011,963.256897,565.576050,67.337944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,852.388855,490.447449,33.134003,1090.719116,800.924683,388.624237,934.902405,474.885345,32.881428,964.348145,567.183777,67.953163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,853.629639,492.600433,33.438625,1091.482178,801.492676,388.563293,935.383118,477.330231,32.785389,965.386230,570.014771,68.114586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,854.891235,494.953888,33.612206,1092.166138,802.251343,388.496857,936.199219,480.247864,33.032944,966.321045,572.855591,68.143707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,856.686890,497.934540,33.528614,1093.137695,803.559143,388.473358,936.870605,483.140381,32.976501,967.335144,575.411255,68.541710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,858.377441,500.525482,33.659801,1093.953125,804.797546,388.497375,937.614807,485.830627,32.848915,968.276001,578.816223,68.070045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,860.370056,502.926575,33.707382,1094.650757,805.631836,388.662933,938.420593,488.727448,33.060089,969.675171,581.702759,68.728653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,862.225525,505.972473,34.119938,1095.621216,806.763550,388.347260,939.161133,491.901825,33.551422,970.945435,584.658813,68.982254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,864.457581,509.179535,34.241852,1096.919678,808.198181,388.361877,939.904663,495.191528,33.626255,972.452515,587.562378,69.672371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,866.902649,512.382263,34.223663,1097.754150,809.210205,388.246887,940.770874,498.965179,33.857285,973.777771,591.163086,70.045090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,869.430115,515.369568,34.592484,1098.274780,810.296753,388.348022,941.309265,502.122406,34.742275,975.213074,594.606812,70.836723,,,,,,,,,,,,,1120.301514,837.800293,219.420471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,872.211365,518.665100,35.232189,1098.980103,812.239563,388.074280,942.263855,505.634308,35.332863,976.047485,598.386719,71.204147,,,,,,,,,,,,,1122.356812,840.277222,219.949326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,874.886292,521.949768,35.181511,1099.884521,813.490234,387.882599,942.780945,509.595520,36.352734,977.797485,602.353760,71.474434,,,,,,,,,,,,,1124.735229,842.742065,219.566391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,877.386047,525.737061,35.861122,1100.879883,814.853210,388.106720,943.344604,513.345154,37.657486,979.328003,606.044006,71.392662,,,,,,,,,,,,,1126.616699,845.474487,220.184677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
