Grasp107
Date:,2025/04/23
Time:,10:06:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
92,1179.810181,867.053101,471.913177,760.392334,714.962280,99.915787,896.681335,725.317810,122.917625,1146.961792,878.955505,265.666016,857.963440,632.563416,104.947678,,,,,,,,,,,,,,,
93,1178.238892,866.464294,471.666351,759.659790,712.970886,98.988785,895.717896,723.923340,122.324341,1145.835327,878.154541,265.232697,857.327637,630.934631,103.952507,,,,,,,,,,,,,,,
94,1177.339600,865.964966,471.535645,758.834839,710.821899,98.675102,894.808044,722.606079,121.948792,1144.341675,877.309326,264.558289,856.646240,629.435974,102.838379,,,,,,,,,,,,,,,
95,1176.581299,865.556885,471.525269,757.864502,709.026184,98.047615,894.136658,721.223816,121.435707,1142.975098,876.259888,264.365845,855.906006,628.002563,102.131424,,,,,,,,,,,,,,,
96,1175.345581,865.072815,471.772827,757.439514,707.123901,97.372200,893.490479,719.799927,120.895012,1141.690308,875.321289,264.820679,855.344116,626.478516,101.306747,,,,,,,,,,,,,,,
97,1173.843384,864.493347,471.494049,756.969543,705.168030,96.755150,892.610474,718.534668,120.430328,1140.169556,874.631226,264.622009,854.844604,625.448303,99.502388,,,,,,,,,,,,,,,
98,1172.642944,864.210571,471.163025,756.128540,703.317444,96.263710,891.718811,717.226868,119.886665,1138.923340,873.854126,264.447968,854.427856,624.193420,98.390617,,,,,,,,,,,,,,,
99,1171.681396,863.883484,470.967957,755.612000,701.729431,95.725914,890.925110,715.933044,119.458748,1137.445801,872.908081,264.549805,853.733276,622.845276,97.604507,,,,,,,,,,,,,,,
100,1170.536377,863.341309,471.074677,755.260132,699.834290,94.953064,890.578186,714.850098,119.079193,1136.173584,872.100525,264.326050,853.233887,621.833191,96.722313,,,,,,,,,,,,,,,
101,1169.344849,862.972473,471.236755,755.275269,698.090210,94.296288,890.205688,713.875305,118.583534,1135.504028,871.462158,264.087952,852.455933,620.688721,95.756653,,,,,,,,,,,,,,,
102,1168.077148,862.683960,471.192932,755.318176,696.490967,93.681229,889.799072,712.854431,118.120659,1134.550293,871.030396,263.854248,852.403076,619.609924,94.168365,,,,,,,,,,,,,,,
